,Artículo@Cliente (Facturación) None,Artículo@DESC,Boca de Entrega@Cliente (Facturación) None,Boca de Entrega@DESC,Dias Mínimo
106,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241153,SUPERMERCADOS TOLEDO S.A. (CENTRAL)     ,120.0
107,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241172,AUT MAY DIARCO (M.CENTRAL)              ,120.0
108,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241173,AUT MAY DIARCO (I.CASANOVA)             ,120.0
109,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241177,MAXICONSUMO S.A. (LOMA HERMOSA)         ,120.0
110,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241178,AUT MAY DIARCO (BARRACAS)               ,120.0
111,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241180,MAXICONSUMO S.A. (LA PLATA)             ,120.0
112,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241181,AUT MAY DIARCO (PILAR)                  ,120.0
113,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241182,MAXICONSUMO S.A. (PACHECO)              ,120.0
114,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241183,AUT MAY DIARCO (BERAZATEGUI)            ,120.0
115,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241187,AUT MAY DIARCO (JUNIN)                  ,120.0
116,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241188,MAXICONSUMO S.A. (SAN JUSTO)            ,120.0
117,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241189,AUT MAY DIARCO (NEUQUEN)                ,120.0
118,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241191,AUT MAY DIARCO (BAHIA B)                ,120.0
119,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241192,AUT MAY DIARCO (TRELEW)                 ,120.0
120,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241195,MAXICONSUMO S.A. (BURZACO)              ,120.0
121,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241196,MAXICONSUMO S.A. (BOULOGNE)             ,120.0
122,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241197,MAYCAR S.A.(BURZACO)                    ,150.0
123,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241198,MAYCAR S.A. (MALVINAS)                  ,150.0
124,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241202,MAXICONSUMO S.A. (CAMPANA)              ,120.0
125,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241203,MAYCAR S.A. (QUILMES OESTE)             ,150.0
126,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241204,MAXICONSUMO S.A. (MERLO)                ,120.0
127,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241205,MAYCAR S.A. (MORENO)                    ,150.0
128,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241207,MAYCAR S.A. (CAP-TRONADOR)              ,150.0
129,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241210,MAYCAR S.A. (LAFERRERE)                 ,150.0
130,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241213,MAXICONSUMO S.A. (BRAGADO)              ,120.0
131,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241215,MAYCAR S.A. (CAP-GALLO)                 ,150.0
132,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241216,MAXICONSUMO S.A. (MAR DEL PLATA)        ,120.0
133,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241217,MAYCAR S.A. (LA PLATA)                  ,150.0
134,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241219,MAYCAR S.A. (LOMA HERMOSA)              ,150.0
135,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241221,MAXICONSUMO S.A. (CORDOBA)              ,120.0
136,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",241222,MAXICONSUMO S.A. (RESISTENCIA)          ,120.0
