,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Cajas Solicitadas,Pallets Solicitados
108,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",284817,SD,661048,700.0,2.692308
109,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",226806,SD,661351,442.0,1.7
110,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",334294,SD,660819,20.0,0.076923
111,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",327955,SD,661282,42.0,0.161538
112,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",335698,SD,660732,60.0,0.230769
113,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",274749,SD,661198,36.0,0.25
114,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",274749,SD,661199,36.0,0.25
115,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",274066,SD,660858,288.0,2.0
116,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",241245,SD,661345,3024.0,24.0
117,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",241245,SD,661347,1976.0,15.68254
118,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",284817,SD,661048,756.0,5.25
119,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",226806,SD,661351,250.0,1.736111
120,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",241180,SD,661201,135.0,0.9375
121,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",331183,SD,661067,144.0,1.0
122,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",327955,SD,661282,50.0,0.347222
123,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",261777,SD,661123,144.0,1.0
124,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",335698,SD,660732,54.0,0.375
125,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",334294,SD,660819,29.0,0.076923
126,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",274066,SD,660858,748.0,2.75
127,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",284817,SD,661048,510.0,1.875
128,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",334294,SD,660819,34.0,0.125
129,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",335698,SD,660732,68.0,0.25
