,Descripción,Lote,Dias al Vencimiento,cajas_x_pallets,Fecha de Vencimiento,Depósito Padre,SKU,Cajas Disponibles
103,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",210822                        ,299,60,8/20/2024,    CDCDCO1,6010010007               ,0.0
104,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",220323                        ,512,60,3/21/2025,    CDCDCO1,6010010007               ,0.0
105,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",220423                        ,543,60,4/21/2025,    CDCDCO1,6010010007               ,0.0
106,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",231122                        ,393,60,11/22/2024,    CDCDCO1,6010010007               ,0.0
107,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",240923                        ,698,60,9/23/2025,       CDGD,6010010007               ,74.0
108,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",240923                        ,698,60,9/23/2025,       CDVM,6010010007               ,30.0
109,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",240923                        ,698,60,9/23/2025,    CDCDCF1,6010010007               ,30.0
110,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",240923                        ,698,60,9/23/2025,    CDCDCO1,6010010007               ,0.0
111,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",250723                        ,637,60,7/24/2025,    CDCDCO1,6010010007               ,1.0
112,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",251022                        ,364,60,10/24/2024,    CDCDCO1,6010010007               ,0.0
113,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",270323                        ,517,60,3/26/2025,    CDCDCO1,6010010007               ,0.0
114,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",270423                        ,548,60,4/26/2025,    CDCDCO1,6010010007               ,0.0
115,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",280823                        ,671,60,8/27/2025,       CDVM,6010010007               ,39.0
116,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",280823                        ,671,60,8/27/2025,    CDCDCO1,6010010007               ,0.0
117,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",290322                        ,154,60,3/28/2024,      CDLDC,6010010007               ,0.0
118,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",290423                        ,550,60,4/28/2025,      CDCAU,6010010007               ,0.0
119,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",290423                        ,550,60,4/28/2025,    CDCDCO1,6010010007               ,0.0
120,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",300623                        ,613,60,6/30/2025,    CDCDCO1,6010010007               ,0.0
121,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",300723                        ,642,60,7/29/2025,    CDCDCO1,6010010007               ,0.0
122,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",021122                        ,372,160,11/1/2024,       CDVM,6010010184               ,94.0
123,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",021122                        ,372,160,11/1/2024,    CDCDCO1,6010010184               ,0.0
124,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",120722                        ,260,160,7/12/2024,       CDVM,6010010184               ,0.0
125,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",151222                        ,415,160,12/14/2024,       CDGD,6010010184               ,183.0
126,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",151222                        ,415,160,12/14/2024,       CDVM,6010010184               ,360.0
127,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",151222                        ,415,160,12/14/2024,    CDCDCO1,6010010184               ,0.0
128,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",161022                        ,354,160,10/14/2024,       CDGD,6010010184               ,160.0
129,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",161022                        ,354,160,10/14/2024,    CDCDCO1,6010010184               ,0.0
130,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",170922                        ,326,160,9/16/2024,       CDGD,6010010184               ,80.0
131,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",170922                        ,326,160,9/16/2024,    CDCDCF1,6010010184               ,4.0
132,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",170922                        ,326,160,9/16/2024,    CDCDCO1,6010010184               ,0.0
133,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",010823                        ,644,72,7/31/2025,    CDCDCO1,6010010077               ,0.0
134,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",030523                        ,554,72,5/2/2025,    CDCDCO1,6010010077               ,0.0
135,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",040623                        ,586,72,6/3/2025,    CDCDCO1,6010010077               ,0.0
136,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",050723                        ,617,72,7/4/2025,    CDCDCO1,6010010077               ,0.0
137,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",060822                        ,283,72,8/4/2024,       CDGD,6010010077               ,0.0
138,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",060922                        ,314,72,9/4/2024,    CDCDCO1,6010010077               ,0.0
139,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",090923                        ,683,72,9/8/2025,       CDGD,6010010077               ,0.0
140,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",090923                        ,683,72,9/8/2025,    CDCDCO1,6010010077               ,288.0
141,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",130622                        ,230,72,6/12/2024,       CDVM,6010010077               ,0.0
142,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",150723                        ,627,72,7/14/2025,    CDCDCO1,6010010077               ,0.0
143,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",160422                        ,172,72,4/15/2024,      CDLDC,6010010077               ,0.0
144,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",160822                        ,294,72,8/15/2024,      CDLDC,6010010077               ,0.0
145,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",161222                        ,416,72,12/15/2024,    CDCDCO1,6010010077               ,0.0
146,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",180823                        ,661,72,8/17/2025,    CDCDCO1,6010010077               ,0.0
147,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",190523                        ,570,72,5/18/2025,    CDCDCO1,6010010077               ,0.0
148,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",190922                        ,329,72,9/19/2024,    CDCDCO1,6010010077               ,0.0
149,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",210823                        ,664,72,8/20/2025,       CDVM,6010010077               ,814.0
150,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",210823                        ,664,72,8/20/2025,    CDCDCO1,6010010077               ,4006.0
151,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",220923                        ,696,72,9/21/2025,    CDCDCO1,6010010077               ,1440.0
152,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",230523                        ,576,72,5/24/2025,    CDCDCO1,6010010077               ,0.0
153,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",231023                        ,726,72,10/21/2025,       CDGD,6010010077               ,14690.0
154,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",251023                        ,729,72,10/24/2025,       CDGD,6010010077               ,16200.0
155,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",261122                        ,396,72,11/25/2024,    CDCDCO1,6010010077               ,0.0
156,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",270822                        ,305,72,8/26/2024,    CDCDCO1,6010010077               ,0.0
157,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",280223                        ,490,72,2/27/2025,    CDCDCO1,6010010077               ,0.0
158,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",290923                        ,704,72,9/29/2025,       CDGD,6010010077               ,0.0
159,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",290923                        ,704,72,9/29/2025,       CDVM,6010010077               ,0.0
160,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",040523                        ,555,60,5/3/2025,    CDCDCO1,6010010112               ,360.0
161,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",060223                        ,469,60,2/6/2025,    CDCDCO1,6010010112               ,0.0
162,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",110923                        ,685,60,9/10/2025,       CDGD,6010010112               ,26.0
163,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",110923                        ,685,60,9/10/2025,       CDVM,6010010112               ,12.0
164,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",110923                        ,685,60,9/10/2025,    CDCDCO1,6010010112               ,2880.0
165,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",120922                        ,321,60,9/11/2024,    CDCDCO1,6010010112               ,0.0
166,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",160822                        ,294,60,8/15/2024,    CDCDCO1,6010010112               ,0.0
167,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",170623                        ,603,60,6/20/2025,    CDCDCO1,6010010112               ,1440.0
168,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",170823                        ,660,60,8/16/2025,    CDCDCO1,6010010112               ,300.0
169,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",190923                        ,694,60,9/19/2025,       CDGD,6010010112               ,0.0
170,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",190923                        ,694,60,9/19/2025,    CDCDCF1,6010010112               ,1570.0
171,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",210223                        ,485,60,2/22/2025,    CDCDCO1,6010010112               ,236.0
172,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",221222                        ,422,60,12/21/2024,    CDCDCO1,6010010112               ,0.0
173,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",250723                        ,638,60,7/25/2025,    CDCDCO1,6010010112               ,0.0
174,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",260722                        ,273,60,7/25/2024,       CDVM,6010010112               ,0.0
175,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",270623                        ,609,60,6/26/2025,    CDCDCO1,6010010112               ,419.0
176,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",280923                        ,702,60,9/27/2025,       CDGD,6010010112               ,12.0
177,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",280923                        ,702,60,9/27/2025,       CDVM,6010010112               ,1980.0
178,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",280923                        ,702,60,9/27/2025,    CDCDCO1,6010010112               ,1440.0
179,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",290823                        ,672,60,8/28/2025,       CDVM,6010010112               ,42.0
180,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",010823                        ,644,50,7/31/2025,    CDCDCO1,6010010008               ,0.0
181,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",021023                        ,706,50,10/1/2025,       CDGD,6010010008               ,1610.0
182,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",021023                        ,706,50,10/1/2025,       CDVM,6010010008               ,2600.0
183,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",080523                        ,559,50,5/7/2025,    CDCDCO1,6010010008               ,0.0
