,Boca de Entrega@Cliente (Facturación) None,Boca de Entrega@DESC,Artículo@Cliente (Facturación) None,Artículo@DESC,Dias Mínimo
114,202697,ROSENTAL DAVID E HIJOS SACI             ,6030050072               ,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO INTERNO   ",120.0
115,202697,ROSENTAL DAVID E HIJOS SACI             ,6030330001               ,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL ",120.0
116,202697,ROSENTAL DAVID E HIJOS SACI             ,6030330002               ,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP,M.I./ARL ",120.0
117,202697,ROSENTAL DAVID E HIJOS SACI             ,6040100010               ,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",120.0
118,202697,ROSENTAL DAVID E HIJOS SACI             ,6050100007               ,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",120.0
119,202697,ROSENTAL DAVID E HIJOS SACI             ,6090020009               ,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.             ",120.0
120,202697,ROSENTAL DAVID E HIJOS SACI             ,6090020011               ,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.              ",120.0
121,202761,DISTRIBUIDORA JOTA BE S.A.              ,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",120.0
122,202761,DISTRIBUIDORA JOTA BE S.A.              ,6010010008               ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                           ",120.0
123,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",120.0
124,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010010008               ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                           ",120.0
125,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                           ",120.0
126,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                           ",120.0
127,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010010184               ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.                           ",120.0
128,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010140007               ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.              ",120.0
129,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010140008               ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.            ",120.0
130,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.                   ",120.0
131,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010570018               ,"AC,SOJOLA,SOJA,12X900ML,B,ESP,M.I.                          ",120.0
132,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010570019               ,"AC,SOJOLA,SOJA,12X1,5L,B,ESP,M.I.                           ",120.0
133,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010900001               ,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL          ",120.0
134,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010900002               ,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.                ",120.0
135,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010900017               ,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.             ",120.0
136,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010900018               ,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.               ",120.0
137,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010900024               ,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.    ",120.0
138,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010900031               ,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.                   ",120.0
139,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010900032               ,"AC,NATURA INT,OLIVA VE,12X500ML,C,ESP,M.I.                  ",120.0
140,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6010950016               ,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.                      ",120.0
141,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6011570001               ,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.                     ",120.0
142,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6011570002               ,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.                      ",120.0
143,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6011640001               ,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.                 ",120.0
144,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",120.0
145,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL        ",120.0
146,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030010026               ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL        ",120.0
147,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030010129               ,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),ESP,M.I./A",120.0
148,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030010170               ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",120.0
149,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",120.0
150,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030040007               ,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL              ",120.0
151,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030040040               ,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL   ",120.0
152,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030040073               ,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./ARL   ",120.0
153,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030050069               ,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",120.0
154,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030050070               ,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",120.0
155,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030050071               ,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO   ",120.0
156,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030050072               ,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO INTERNO   ",120.0
157,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030050074               ,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",120.0
158,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030330001               ,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL ",120.0
159,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6030330002               ,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP,M.I./ARL ",120.0
160,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6040100009               ,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                          ",120.0
161,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6040100010               ,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",120.0
162,202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,6050080010               ,"SGOLF,CADA DIA, L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M.I./ARL",120.0
