,Descripción,Lote,Dias al Vencimiento,Depósito Padre,cajas_x_pallets,Fecha de Vencimiento,SKU,Cajas Disponibles
120,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",300623                        ,613,    CDCDCO1,60,6/30/2025,6010010007               ,0.0
121,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",300723                        ,642,    CDCDCO1,60,7/29/2025,6010010007               ,0.0
122,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",021122                        ,372,       CDVM,160,11/1/2024,6010010184               ,94.0
123,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",021122                        ,372,    CDCDCO1,160,11/1/2024,6010010184               ,0.0
124,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",120722                        ,260,       CDVM,160,7/12/2024,6010010184               ,0.0
125,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",151222                        ,415,       CDGD,160,12/14/2024,6010010184               ,183.0
126,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",151222                        ,415,       CDVM,160,12/14/2024,6010010184               ,360.0
127,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",151222                        ,415,    CDCDCO1,160,12/14/2024,6010010184               ,0.0
128,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",161022                        ,354,       CDGD,160,10/14/2024,6010010184               ,160.0
129,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",161022                        ,354,    CDCDCO1,160,10/14/2024,6010010184               ,0.0
130,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",170922                        ,326,       CDGD,160,9/16/2024,6010010184               ,80.0
131,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",170922                        ,326,    CDCDCF1,160,9/16/2024,6010010184               ,4.0
132,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",170922                        ,326,    CDCDCO1,160,9/16/2024,6010010184               ,0.0
133,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",010823                        ,644,    CDCDCO1,72,7/31/2025,6010010077               ,0.0
134,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",030523                        ,554,    CDCDCO1,72,5/2/2025,6010010077               ,0.0
135,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",040623                        ,586,    CDCDCO1,72,6/3/2025,6010010077               ,0.0
136,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",050723                        ,617,    CDCDCO1,72,7/4/2025,6010010077               ,0.0
137,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",060822                        ,283,       CDGD,72,8/4/2024,6010010077               ,0.0
138,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",060922                        ,314,    CDCDCO1,72,9/4/2024,6010010077               ,0.0
139,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",090923                        ,683,       CDGD,72,9/8/2025,6010010077               ,0.0
140,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",090923                        ,683,    CDCDCO1,72,9/8/2025,6010010077               ,288.0
141,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",130622                        ,230,       CDVM,72,6/12/2024,6010010077               ,0.0
142,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",150723                        ,627,    CDCDCO1,72,7/14/2025,6010010077               ,0.0
143,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",160422                        ,172,      CDLDC,72,4/15/2024,6010010077               ,0.0
144,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",160822                        ,294,      CDLDC,72,8/15/2024,6010010077               ,0.0
145,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",161222                        ,416,    CDCDCO1,72,12/15/2024,6010010077               ,0.0
146,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",180823                        ,661,    CDCDCO1,72,8/17/2025,6010010077               ,0.0
147,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",190523                        ,570,    CDCDCO1,72,5/18/2025,6010010077               ,0.0
148,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",190922                        ,329,    CDCDCO1,72,9/19/2024,6010010077               ,0.0
149,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",210823                        ,664,       CDVM,72,8/20/2025,6010010077               ,814.0
150,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",210823                        ,664,    CDCDCO1,72,8/20/2025,6010010077               ,4006.0
151,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",220923                        ,696,    CDCDCO1,72,9/21/2025,6010010077               ,1440.0
152,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",230523                        ,576,    CDCDCO1,72,5/24/2025,6010010077               ,0.0
153,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",231023                        ,726,       CDGD,72,10/21/2025,6010010077               ,14690.0
154,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",251023                        ,729,       CDGD,72,10/24/2025,6010010077               ,16200.0
155,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",261122                        ,396,    CDCDCO1,72,11/25/2024,6010010077               ,0.0
156,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",270822                        ,305,    CDCDCO1,72,8/26/2024,6010010077               ,0.0
157,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",280223                        ,490,    CDCDCO1,72,2/27/2025,6010010077               ,0.0
158,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",290923                        ,704,       CDGD,72,9/29/2025,6010010077               ,0.0
159,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",290923                        ,704,       CDVM,72,9/29/2025,6010010077               ,0.0
160,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",040523                        ,555,    CDCDCO1,60,5/3/2025,6010010112               ,360.0
161,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",060223                        ,469,    CDCDCO1,60,2/6/2025,6010010112               ,0.0
