,Depósito Padre,cajas_x_pallets,SKU,Descripción,Fecha de Vencimiento,Dias al Vencimiento,Lote,Cajas Disponibles
120,       CDGD,260,6030330001               ,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",7/6/2024,254,R101023                       ,520.0
121,       CDGD,260,6040100010               ,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",5/13/2024,200,180723                        ,0.0
122,       CDGD,260,6040100010               ,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",6/10/2024,228,150823                        ,0.0
123,       CDGD,260,6040100010               ,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",8/5/2024,284,101023                        ,2952.0
124,       CDGD,260,6050100007               ,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",4/27/2024,184,010823                        ,56.0
125,       CDGD,260,6050100007               ,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",6/27/2024,245,011023                        ,4380.0
126,       CDGD,260,6090020009               ,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",6/2/2024,220,070823                        ,0.0
127,       CDGD,260,6090020009               ,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",6/19/2024,237,240823                        ,524.0
128,       CDGD,260,6090020009               ,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",7/8/2024,256,120923                        ,780.0
129,       CDGD,260,6090020009               ,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",7/14/2024,262,140923                        ,1560.0
130,       CDGD,260,6090020009               ,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",7/27/2024,275,011023                        ,2600.0
131,       CDGD,272,6030010170               ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",5/19/2024,206,220823                        ,210.0
