,Descripción,Dias al Vencimiento,Fecha de Vencimiento,Depósito Padre,Lote,cajas_x_pallets,SKU,Cajas Disponibles
109,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",648,8/4/2025,    CDCDCO1,060823                        ,60,6010010007               ,0.0
110,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",656,8/12/2025,    CDCDCO1,130823                        ,60,6010010007               ,0.0
111,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",671,8/27/2025,       CDVM,280823                        ,60,6010010007               ,39.0
112,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",671,8/27/2025,    CDCDCO1,280823                        ,60,6010010007               ,0.0
113,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",690,9/15/2025,    CDCDCF1,160923                        ,60,6010010007               ,98.0
114,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",690,9/15/2025,    CDCDCO1,160923                        ,60,6010010007               ,0.0
115,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",698,9/23/2025,       CDGD,240923                        ,60,6010010007               ,74.0
116,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",698,9/23/2025,       CDVM,240923                        ,60,6010010007               ,30.0
117,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",698,9/23/2025,    CDCDCF1,240923                        ,60,6010010007               ,30.0
118,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",698,9/23/2025,    CDCDCO1,240923                        ,60,6010010007               ,0.0
119,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",711,10/6/2025,       CDGD,071023                        ,60,6010010007               ,0.0
120,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",720,10/15/2025,       CDGD,161023                        ,60,6010010007               ,24060.0
121,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",720,10/15/2025,       CDVM,161023                        ,60,6010010007               ,6092.0
122,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",260,7/12/2024,       CDVM,120722                        ,160,6010010184               ,0.0
123,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",326,9/16/2024,       CDGD,170922                        ,160,6010010184               ,80.0
124,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",326,9/16/2024,    CDCDCF1,170922                        ,160,6010010184               ,4.0
