,Lote,Descripción,Dias al Vencimiento,cajas_x_pallets,Fecha de Vencimiento,SKU,Depósito Padre,Cajas Disponibles
116,050823                        ,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",158,377,4/1/2024,6030010129               ,    CDCDCF1,3887.0
117,051023                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",249,260,7/1/2024,6030010007               ,       CDGD,14560.0
118,051023                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",249,260,7/1/2024,6030010007               ,       CDVM,1586.0
119,051023                        ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",249,144,7/1/2024,6030010019               ,       CDVM,144.0
120,051023                        ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",249,108,7/1/2024,6030010026               ,       CDGD,9432.0
121,051023                        ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",249,108,7/1/2024,6030010026               ,       CDVM,19811.0
122,051023                        ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",249,108,7/1/2024,6030010026               ,    CDCDCO1,1836.0
123,060223                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",469,60,2/6/2025,6010010112               ,    CDCDCO1,0.0
124,060423                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",527,60,4/5/2025,6010020204               ,       CDVM,0.0
125,060423                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",527,60,4/5/2025,6010020204               ,    CDCDCO1,0.0
126,060622                        ,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.",223,304,6/5/2024,6010900017               ,    CDCDCO1,0.0
127,060723                        ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",158,108,4/1/2024,6030010026               ,    CDCDCO1,1296.0
128,060822                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",283,72,8/4/2024,6010010077               ,       CDGD,0.0
129,060823                        ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",648,60,8/4/2025,6010010007               ,       CDVM,40.0
