,Depósito Padre,Descripción,SKU,Lote,Fecha de Vencimiento,cajas_x_pallets,Dias al Vencimiento,Cajas Disponibles
77,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",6030010007               ,010723                        ,3/27/2024,260,153,0.0
78,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",6030010007               ,011023                        ,6/27/2024,260,245,16960.0
79,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",6030010007               ,051023                        ,7/1/2024,260,249,14560.0
80,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",6030010007               ,080923                        ,6/4/2024,260,222,179.0
81,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",6030010007               ,140823                        ,5/10/2024,260,197,0.0
82,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",6030010007               ,160923                        ,6/12/2024,260,230,0.0
83,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",6030010007               ,190923                        ,6/15/2024,260,233,0.0
84,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6030010019               ,010923                        ,5/28/2024,144,215,0.0
85,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6030010019               ,061023                        ,7/2/2024,144,250,11178.0
86,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6030010019               ,100923                        ,6/6/2024,144,224,0.0
87,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6030010019               ,140923                        ,6/10/2024,144,228,80.0
88,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6030010019               ,150923                        ,6/11/2024,144,229,0.0
89,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6030010019               ,220823                        ,5/18/2024,144,205,0.0
90,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6030010019               ,240823                        ,5/20/2024,144,207,0.0
91,       CDGD,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",6030010129               ,050823                        ,4/1/2024,377,158,2291.0
92,       CDGD,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",6030010129               ,080723                        ,3/4/2024,377,130,285.0
93,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",6030010170               ,010923                        ,5/28/2024,272,215,1564.0
94,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",6030010170               ,031023                        ,6/29/2024,272,247,24752.0
95,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",6030010170               ,060923                        ,6/2/2024,272,220,272.0
