,Depósito Padre,Descripción,cajas_x_pallets,Dias al Vencimiento,Lote,SKU,Fecha de Vencimiento,Cajas Disponibles
85,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",144,207,240823                        ,6030010019               ,5/20/2024,0.0
86,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",144,215,010923                        ,6030010019               ,5/28/2024,0.0
87,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",144,224,100923                        ,6030010019               ,6/6/2024,0.0
88,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",144,228,140923                        ,6030010019               ,6/10/2024,80.0
89,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",144,229,150923                        ,6030010019               ,6/11/2024,0.0
90,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",144,250,061023                        ,6030010019               ,7/2/2024,11178.0
91,       CDGD,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",377,130,080723                        ,6030010129               ,3/4/2024,285.0
92,       CDGD,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",377,158,050823                        ,6030010129               ,4/1/2024,2291.0
93,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,206,220823                        ,6030010170               ,5/19/2024,210.0
94,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,213,300823                        ,6030010170               ,5/26/2024,0.0
95,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,215,010923                        ,6030010170               ,5/28/2024,1564.0
96,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,220,060923                        ,6030010170               ,6/2/2024,272.0
97,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,224,100923                        ,6030010170               ,6/6/2024,272.0
98,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,232,180923                        ,6030010170               ,6/14/2024,272.0
99,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,235,210923                        ,6030010170               ,6/17/2024,3536.0
100,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,247,031023                        ,6030010170               ,6/29/2024,24752.0
101,       CDGD,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",272,251,071023                        ,6030010170               ,7/3/2024,6528.0
102,       CDGD,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",80,139,170623                        ,6030010208               ,3/13/2024,2.0
103,       CDGD,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",80,209,260823                        ,6030010208               ,5/22/2024,119.0
104,       CDGD,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",80,215,010923                        ,6030010208               ,5/28/2024,640.0
105,       CDGD,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",80,252,081023                        ,6030010208               ,7/4/2024,3200.0
106,       CDGD,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",108,165,130723                        ,6030010026               ,4/8/2024,83.0
107,       CDGD,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",108,215,010923                        ,6030010026               ,5/28/2024,0.0
108,       CDGD,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",108,249,051023                        ,6030010026               ,7/1/2024,9432.0
109,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",260,220,070823                        ,6090020009               ,6/2/2024,0.0
110,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",260,237,240823                        ,6090020009               ,6/19/2024,524.0
111,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",260,256,120923                        ,6090020009               ,7/8/2024,780.0
112,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",260,262,140923                        ,6090020009               ,7/14/2024,1560.0
113,       CDGD,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",260,275,011023                        ,6090020009               ,7/27/2024,2600.0
114,       CDGD,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",144,186,040723                        ,6090020011               ,4/29/2024,0.0
115,       CDGD,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",144,220,070823                        ,6090020011               ,6/2/2024,261.0
116,       CDGD,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",144,256,120923                        ,6090020011               ,7/8/2024,144.0
117,       CDGD,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.",377,179,260823                        ,6090020010               ,4/22/2024,367.0
118,       CDGD,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.",377,199,150923                        ,6090020010               ,5/12/2024,1508.0
119,       CDGD,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",80,151,300523                        ,6090020012               ,3/25/2024,25.0
120,       CDGD,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",80,237,240823                        ,6090020012               ,6/19/2024,96.0
121,       CDGD,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",80,263,190923                        ,6090020012               ,7/15/2024,80.0
122,       CDGD,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",224,688,257/23                        ,6010140007               ,9/13/2025,2602.0
123,       CDGD,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",224,689,258/23                        ,6010140007               ,9/14/2025,896.0
124,       CDGD,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",224,689,258/23                        ,6010140008               ,9/14/2025,25.0
125,       CDGD,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",224,690,259/23                        ,6010140008               ,9/15/2025,1152.0
126,       CDGD,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",224,692,261/23                        ,6010140008               ,9/17/2025,896.0
127,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,640,209/23                        ,6010550008               ,7/27/2025,0.0
128,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,644,213/23                        ,6010550008               ,7/31/2025,0.0
129,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,665,234/23                        ,6010550008               ,8/21/2025,0.0
130,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,666,235/23                        ,6010550008               ,8/22/2025,133.0
131,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,667,236/23                        ,6010550008               ,8/23/2025,736.0
132,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,671,240/23                        ,6010550008               ,8/27/2025,448.0
133,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,672,241/23                        ,6010550008               ,8/28/2025,224.0
134,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,673,242/23                        ,6010550008               ,8/29/2025,1568.0
135,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,674,243/23                        ,6010550008               ,8/30/2025,2240.0
136,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,681,250/23                        ,6010550008               ,9/6/2025,896.0
137,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,682,251/23                        ,6010550008               ,9/7/2025,2464.0
138,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,683,252/23                        ,6010550008               ,9/8/2025,1344.0
139,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,685,254/23                        ,6010550008               ,9/10/2025,3808.0
140,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,686,255/23                        ,6010550008               ,9/11/2025,1120.0
141,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,699,268/23                        ,6010550008               ,9/24/2025,672.0
142,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,700,269/23                        ,6010550008               ,9/25/2025,3584.0
143,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,701,270/23                        ,6010550008               ,9/26/2025,3808.0
144,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,702,271/23                        ,6010550008               ,9/27/2025,3584.0
145,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,703,272/23                        ,6010550008               ,9/28/2025,896.0
