,SKU,Depósito Padre,Fecha de Vencimiento,Dias al Vencimiento,Lote,Descripción,cajas_x_pallets,Cajas Disponibles
136,6010020204               ,    CDCDCO1,5/15/2025,567,160523                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,0.0
137,6010020204               ,    CDCDCO1,7/6/2025,619,070723                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,0.0
138,6010020204               ,    CDCDCO1,7/24/2025,637,250723                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,0.0
139,6010020204               ,    CDCDCO1,8/8/2025,652,080823                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,1407.0
140,6010020204               ,    CDCDCO1,8/25/2025,669,250823                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,6900.0
141,6010020204               ,    CDCDCO1,10/8/2025,713,091023                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,5040.0
142,6010040002               ,       CDVM,3/11/2025,502,120323                        ,"AC,CADA DIA,GIR,12X1,5L,B,ESP,M.I.",60,7.0
143,6010040002               ,      CDLDC,3/10/2024,136,110322                        ,"AC,CADA DIA,GIR,12X1,5L,B,ESP,M.I.",60,0.0
144,6010040111               ,       CDGD,4/15/2025,537,160423                        ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",105,571.0
145,6010040111               ,       CDGD,10/10/2025,715,041023                        ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",105,110.0
146,6010040111               ,    CDCDCF1,1/14/2025,446,150123                        ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",105,1769.0
147,6010040111               ,    CDCDCF1,2/8/2025,471,090223                        ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",105,662.0
148,6010040111               ,    CDCDCO1,1/2/2025,434,010123                        ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",105,30.0
149,6010140007               ,       CDGD,9/13/2025,688,257/23                        ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",224,2602.0
150,6010140007               ,       CDGD,9/14/2025,689,258/23                        ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",224,896.0
151,6010140007               ,       CDVM,9/12/2025,687,256/23                        ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",224,1292.0
152,6010140007               ,       CDVM,9/13/2025,688,257/23                        ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",224,224.0
153,6010140007               ,    CDCDCF1,7/4/2025,617,186/23                        ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",224,9.0
154,6010140007               ,    CDCDCF1,9/12/2025,687,256/23                        ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",224,427.0
155,6010140007               ,    CDCDCO1,5/16/2024,203,137/22                        ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",224,0.0
156,6010140007               ,    CDCDCO1,10/10/2024,350,284/22                        ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",224,0.0
157,6010140008               ,       CDGD,9/14/2025,689,258/23                        ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",224,25.0
158,6010140008               ,       CDGD,9/15/2025,690,259/23                        ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",224,1152.0
159,6010140008               ,       CDGD,9/17/2025,692,261/23                        ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",224,896.0
160,6010140008               ,       CDVM,7/5/2025,618,187/23                        ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",224,0.0
161,6010140008               ,       CDVM,9/14/2025,689,258/23                        ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",224,1195.0
162,6010140008               ,    CDCDCO1,7/26/2024,274,208/22                        ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",224,0.0
163,6010140008               ,    CDCDCO1,10/13/2024,353,287/22                        ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",224,125.0
164,6010550008               ,       CDGD,7/27/2025,640,209/23                        ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,0.0
