,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Boca de entrega,Artículo@LITM,Artículo@Descripcion,Pallets Solicitados,Cajas Solicitadas
139,SD,661181,363993,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",0.076923,20.0
140,SD,661181,363993,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",0.25,68.0
141,SD,661182,363993,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",0.076923,20.0
142,SD,661197,299351,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.030769,8.0
143,SD,661198,274749,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",0.153846,40.0
144,SD,661198,274749,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",0.25,36.0
145,SD,661198,274749,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.023077,6.0
146,SD,661199,274749,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",0.076923,20.0
147,SD,661199,274749,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",0.125,18.0
148,SD,661199,274749,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",0.153846,40.0
149,SD,661199,274749,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",0.25,36.0
150,SD,661199,274749,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.023077,6.0
151,SD,661201,241180,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",0.076923,20.0
152,SD,661201,241180,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",0.9375,135.0
153,SD,661201,241180,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.076923,20.0
154,SD,661237,338653,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.153846,40.0
155,SD,661237,338653,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",0.153846,40.0
156,SD,661237,338653,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",0.125,18.0
157,SD,661237,338653,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.076923,20.0
158,SD,661237,338653,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",0.125,18.0
159,SD,661237,338653,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",0.076923,20.0
160,SD,661237,338653,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",0.125,34.0
161,SD,661277,319406,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.153846,40.0
162,SD,661280,280889,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",1.0,80.0
163,SD,661281,280889,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",2.0,160.0
164,SD,661282,327955,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",0.161538,42.0
165,SD,661282,327955,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",0.347222,50.0
166,SD,661284,354319,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",1.0,260.0
167,SD,661285,280862,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",0.125,34.0
168,SD,661286,319406,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",1.0,260.0
169,SD,661287,261138,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.076923,20.0
170,SD,661287,261138,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",1.0,108.0
171,SD,661291,248095,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",1.0,260.0
172,SD,661294,325049,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.076923,20.0
173,SD,661294,325049,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",1.0,144.0
174,SD,661294,325049,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",1.0,260.0
175,SD,661294,325049,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",6.0,864.0
176,SD,661294,325049,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",6.0,648.0
177,SD,661294,325049,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",1.0,260.0
178,SD,661294,325049,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",0.25,68.0
179,SD,661310,307199,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",0.6,48.0
180,SD,661317,354625,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.076923,20.0
181,SD,661332,267752,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",0.375,102.0
182,SD,661334,223397,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",2.488462,647.0
183,SD,661344,241245,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",5.208333,1250.0
184,SD,661344,241245,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",0.458333,110.0
185,SD,661344,241245,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",0.070833,17.0
186,SD,661344,241245,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",0.1875,45.0
